days_since_publication,cited_by_count,ProjectTitle
1814,11,Improving the quality of the National Crime Victimization Survey and Police Public Contact Survey in order to better understand the determinates of help-seeking behavior among victims of intimate-partner and sexual assaults
2988,9,Health and Migration in the Continental United States
4661,4,"The Long-Run Determinants of Social, Demographic, and Economic Characteristics and Processes"
1398,18,Evaluating and Enhancing the MEPS-IC as a Source of Policy Relevant Estimates
1989,2,Historical Census Files Project
1034,6,Evaluating the Quality of the SIPP-EHC Field Tests Using Administrative Records and Paradata
1405,28,Measuring Uncertainty Over the Business Cycle
1012,3,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
887,13,Employment Responses to Federal and State Changes in Access to Private and Public Health Insurance
2435,1,The Effects of Corporate Actions on Customer and Supplier Relationships
846,0,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
412,0,A Proposal to Study Sorting of Households by Race and Income in Locational Equilibrium Using 1990 Decennial Census Long Form Data
1844,12,"Entrepreneurship, Careers and Social Mobility"
3047,1,"Firm Performance, Entrepreneurship, and Human Capital"
3413,0,"Firm Performance, Entrepreneurship, and Human Capital"
6335,1,"Financing, Market Power, and Inequality"
9897,88,The Importance of Relocations in U.S. Manufacturing
1667,79,Local Market Concentration and its Determinants
2770,122,International Trade and U.S. Rural Economies: An Analysis of Male-Female Wage and Employment Differentials
4143,2,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
3413,39,Hispanic Health Care Access and Utilization in Different Geographic Locations
3036,11,How Long Will They Stay? Foreign-Born Out-Migration from New U.S. Destinations
847,6,The Anatomy of Census 2000
3354,0,Intergenerational Insurance and Brain Drain in the Great Recession
2013,16,The Impact of the ACA Medicaid Expansion on Public Program Participation and Labor Market Outcomes of Low-Wage Workers
125,1,The Impact of the ACA Medicaid Expansion on Public Program Participation and Labor Market Outcomes of Low-Wage Workers
930,12,The Role of Firm Size and Age on Employment and Hours Adjustments
491,6,The Role of Firm Size and Age on Employment and Hours Adjustments
953,6,The Role of Firm Size and Age on Employment and Hours Adjustments
2440,0,The Role of Firm Size and Age on Employment and Hours Adjustments
4142,147,Civic Engagement and Citizens' Context
2743,97,"Trade, Globalization, and the Enterprise-Establishment Relationships of Multinational Companies"
6335,10,The Effects of the Great Depression in the Very Long Run: Evidence from Large-Scale Longitudinal Microdata
856,0,Identifying Sources of Monopsony Power in Labor Markets
454,0,Corporate Restructuring and Human Capital
130,0,The Effect of Rent Control and Inclusionary Zoning on Housing Affordability and Access to Opportunity
2448,15,Dynamic Effects of Wage Setting: Evidence from the National War Labor Board
3047,6,Dynamic Effects of Wage Setting: Evidence from the National War Labor Board
4143,0,"Regional Entrepreneurship, Innovation, and Firm Dynamics"
856,3,Effect of the State EITC and Local Minimum Wages on Poverty and Other Outcomes
4143,1,Forecasting Income Inequality in the United States
1891,0,Forecasting Income Inequality in the United States
7796,2,How many melting pots?
136,0,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
859,3,"Organizational Characteristics, the Characteristics of Organizational Institutional Environments and Texas Oil and Gas Venting and Flaring Practices"
5239,29,Trends in Couples' Work Patterns after Childbirth and Implications for Inequality: Evidence from the SIPP and Administrative Earnings
673,12,From the Baby Boom: The Contraceptive Origins of Women
5239,0,The Impact of Spin-out Generation on Parent and Progeny Firms
840,0,Effect of the State EITC and Local Minimum Wages on Poverty and Other Outcomes
344,0,Effect of the State EITC and Local Minimum Wages on Poverty and Other Outcomes
2227,3,Productivity Growth in Construction
2682,0,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
2528,22,Effects of Organizational Structure and Governance on Retail Establishment Productivity
3292,0,Productivity and Wage Dispersion in the Great Recession and Beyond
491,0,Job Disruptions and Long-Term Labor Market Outcomes
4170,25,The Impact of Labor Management on Capital-Labor Substitution
1683,29,Analysis and Report on Individuals Who are Eligible for but Not Enrolled in the Medicare Savings
8192,954,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data
8648,157,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data
2501,31,Agglomeration Effects: The Role of Selection
3413,11,Agglomeration Effects: The Role of Selection
278,0,Measuring the Impact of Affirmative Action Law on Establishment Productivity
491,0,Measuring the Impact of Affirmative Action Law on Establishment Productivity
5270,42,College Graduates' Response to Vacancy Postings and the Implications for Productivity
2743,3,"Linkages Between Employment, Firm Dynamics, and Financial Conditions"
7796,12,The Effect of SNAP Policy on Labor Market and Health Outcomes
2120,28,The Role of Firm Size and Age on Employment and Hours Adjustments
2317,3,The Role of Firm Size and Age on Employment and Hours Adjustments
491,1,An Assessment of the Impact of Product and Process Innovations on Firm Performance
971,22,"Exploring the relationship between family member criminal justice involvement, family well-being and young adult outcomes"
1586,0,"Firm Innovation, Knowledge Spillovers, and Productivity Growth"
3778,3,Learning By Doing In New Plants: An Investigation
571,10,Using Synthetic Data in the American Community Survey
1952,4,The Industry Life-Cycle of the Size Distribution of Firms
856,2,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
856,1,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
856,1,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
856,0,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
856,0,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
1221,0,An Empirical Investigation of  The Supply of and Demand for Private Schooling in the United States
873,8,Constructing a Geography for Census Microdata
4827,1,Trends and Turnover in the Early Childhood Labor Market
5969,6,The Effects of Adjustment Costs on Market Competition
856,45,The Industry Life-Cycle of the Size Distribution of Firms
468,23,The Industry Life-Cycle of the Size Distribution of Firms
583,12,The Industry Life-Cycle of the Size Distribution of Firms
2239,16,R&D Expenditures by Industry
3413,6,R&D Expenditures by Industry
2364,39,Job Availability and Employment
3778,5,"Credit Shocks, Firm Creation and Aggregate Productivity"
3778,4,Corporate Restructuring and Human Capital
6945,30,A General Equilibrium Analysis of Urban Labor and Housing Markets
5969,20,A General Equilibrium Analysis of Urban Labor and Housing Markets
6700,4,A General Equilibrium Analysis of Urban Labor and Housing Markets
2074,9,"Geographic Deregulation of U.S. Banking, Market Selection, and Economic Growth"
1209,87,"""Marrying Out"" and Fitting In: Interracial Households, Residential Segregation and the Identity of Multiracial Children"
928,27,Estimates of US Food Insecurity Dynamics: Measuring Food Insecurity Across the US with a New Synthetic Panel Approach
856,1,Health and Migration in the Continental United States
1315,5,Effects of Unemployment Insurance Benefits on Job and Match Quality
1952,88,The Determinants and Ramifications of Firms' Global Production
5317,9,Imports and Productivity in U.S. Manufacturing
4759,39,"Firm Innovation, Knowledge Spillovers, and Productivity Growth"
2590,61,"Place, Race/Ethnicity, and Entrepreneurship in the Global Era: A Comparative Analysis "
4184,18,Locational Attainment and Residential Segregation in U.S. Metropolitan Areas
3564,10,Alice and small business: How patent eligibility shapes market entry
3927,7,"Place, Race/Ethnicity, and Entrepreneurship in the Global Era: A Comparative Analysis "
4143,3,The Emergence of E-Commerce Usage and the Characteristics of Firm Structures and Operations
4363,1,Civil Rights Legislation and the Labor Market Conditions of Southern-born Black Americans
278,0,Estimates of the Earned Income Tax Credit on Employment and Wages
856,0,"Access to Financing and Its impact on Growth, Innovation, and Performance"
3662,110,Dynamic Effects of Wage Setting: Evidence from the National War Labor Board
3778,45,Political Environments and Manufacturing Employment and Investment
3566,18,Political Environments and Manufacturing Employment and Investment
2258,12,Trends in Couples' Work Patterns after Childbirth and Implications for Inequality: Evidence from the SIPP and Administrative Earnings
484,0,"Determinants of Marriage, Fertility, and Migration Decisions"
6335,54,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing.
5909,24,Productivity and Efficiency Analysis in U.S. Food Manufacturing Industry
4874,13,"Production, Energy, and Employment in Response to Changes in Energy Costs, Environmental Factors, and the Business Environment"
3778,2,The Emergence of Wage Discrimination in US Manufacturing
3413,1,The Emergence of Wage Discrimination in US Manufacturing
5239,9,Internal Corporate Governance and Plant-Level Productivity
5239,9,CM98-06  Spillovers from Large Manufacturing Plants in the U.S. & Pennsylvania
7797,40,Pollution Abatement Expenditures and Outcomes: Internal and External Determinants
9410,44,Dynamic Models of Reallocation
5604,5,The Impact of Housing Assistance on Residential Environmental Exposures
1519,11,"Immigration, Earnings and the Dynamics of Labor Market Adjustment in the United States: Comparing CPS Earnings to LEHD Earnings Records"
419,0,High-Tech Innovative Startups: Testing for the Leonardo Polymath Effect and Assessing the Contribution to Radical Innovation
2186,27,The Emergence of E-Commerce Usage and the Characteristics of Firm Structures and Operations
1296,31,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
125,0,"WO00-01-01  Determinants of Business Growth and Survival: the Role of Gender, Race and Ethnicity"
1952,6,The Relationship between Military Service and STEM Outcomes: Integrating Data from Three Federal Statistical Agencies
1425,1,The Relationship between Military Service and STEM Outcomes: Integrating Data from Three Federal Statistical Agencies
10262,156,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
6142,28,Public Use Documentation and Access Tools for Restricted Use 2000 Decennial Census Public Use Microfile
2568,50,The social contexts of the children of immigrants in the U.S.
8283,270,The social contexts of the children of immigrants in the U.S.
2682,72,"The Long-Run Determinants of Social, Demographic, and Economic Characteristics and Processes"
2317,33,The Importance of Relocations in U.S. Manufacturing
1983,26,The Importance of Relocations in U.S. Manufacturing
339,0,New Geographies for Reporting Establishment and Industry Dynamics in the United States
491,0,Intergenerational Insurance and Brain Drain in the Great Recession
2776,10,Inside the Labyrinth: Housing Segregation in America
1617,26,"Introduction of Head Start, Maternal Labor Supply and Child Outcomes"
2166,6,The Impact of Accounting Frauds on Labor Markets
2317,2,The Impact of Accounting Frauds on Labor Markets
9744,33,Defensive Innovation and Firm Growth in the U.S.: Impact of International Trade
1162,4,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
1952,8,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
1952,3,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
801,1,Synthetic Data Generation for Small Area Estimation
1952,0,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
837,0,Synthetic Data Generation for Small Area Estimation
1221,0,Synthetic Data Generation for Small Area Estimation
1221,2,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
644,0,Methods and Applications for Massive One-mode and Bipartite Social Networks
2262,17,Analysis of Small Firms Serving a Client Base of Minority Households
5180,42,Trends and Processes of Hispanic Neighborhood Ascent in the U.S.
11813,34,Families with Children in Federally Assisted Housing
2925,8,Housing Values and Eminent Domain
2329,158,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
3984,77,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
3140,38,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
2234,33,"Structural Change, Regulation, and Productivity Growth in the Meat and Poultry Industries"
1057,25,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
1936,11,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
249,2,Socioeconomic Patterns of Micronesian people from the Freely Associated States
3926,4,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
3322,6,STUDIES TO ASSESS THE QUALITY AND IMPROVE THE RESULTS OF THE MEDICAL EXPENDITURE PANEL SURVEY-INSURANCE COMPONENT
2682,6,The Role of Mothers on Social Mobility of Sons and Assortative Mating in the United States
1938,89,Immigrant Entrepreneurship with a Focus on Latino Entrepreneurship
2592,15,Immigrant Entrepreneurship with a Focus on Latino Entrepreneurship
3231,66,Understanding Employee Entrepreneurship
4388,34,The Effects of High Skill Immigration on Workers and Firms
3413,29,Understanding Employee Entrepreneurship
3413,0,Understanding Employee Entrepreneurship
370,5,Political Environments and Manufacturing Employment and Investment
491,0,Political Environments and Manufacturing Employment and Investment
3747,27,American Community Survey: Trends in Commuting Behavior by Population Subgroups
3423,57,Accuracy of Same-sex Couple Data in the American Community Survey
3413,12,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
3283,48,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
3726,46,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
2216,18,Inequality at the Top: The Contribution of Elites to Social Stratification
957,1,American Community Survey: Trends in Commuting Behavior by Population Subgroups
4143,5,Accuracy of Same-sex Couple Data in the American Community Survey
3747,10,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach
3719,13,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
3778,7,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing.
1184,7,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
3778,0,American Community Survey: Trends in Commuting Behavior by Population Subgroups
4143,1,Household Spatial Sorting Impacts of the Housing and Financial Crisis
4508,1,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
1221,0,American Community Survey: Trends in Commuting Behavior by Population Subgroups
2216,1,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
2317,0,Population Change in Puerto Rico
2682,0,Inequality at the Top: The Contribution of Elites to Social Stratification
4569,0,Generating A Geographic Wage Comparison Index
856,0,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
4508,0,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
3778,0,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
2713,178,Job Availability and Employment
3549,77,Examining Workplace Geo-coding for Travel Forecasting Using the American Community Survey
1198,18,Modeling the Social Environmental Influences and Mechanisms of Suicide
379,2,The Relationship Between Neighborhood Abandonment and New Urbanist Environments
3175,0,Using Synthetic Data in the American Community Survey
5726,9,Performance Determinants of Small Businesses: The Role of Small Business Programs
5923,82,Hate Crime Victimization and Reporting: Unraveling the Contextual Effects Using Data from the National Crime Victimization Survey
6700,14,Hate Crime Victimization and Reporting: Unraveling the Contextual Effects Using Data from the National Crime Victimization Survey
6061,1,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement"
480,0,"Human Resources, Natural Resources, and the Location of Individuals and Economic Activity in Metropolitan and Non-Metropolitan Areas"
1875,0,Testing New Constructs in Innovation and Entrepreneurship to Inform Census Data Collection Efforts
856,0,Testing New Constructs in Innovation and Entrepreneurship to Inform Census Data Collection Efforts
6700,3,A General Equilibrium Analysis of Urban Labor and Housing Markets
848,69,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
1952,0,Starting School at Four: The Effects of Universal Pre-Kindergarten on Children and Mothers
1444,6,"The influence of a housing voucher experiment and neighborhood context on mortality, fertility, housing, family formation, and demographic outcomes after 30 years"
2416,0,"The influence of a housing voucher experiment and neighborhood context on mortality, fertility, housing, family formation, and demographic outcomes after 30 years"
5060,74,"The influence of a housing voucher experiment and neighborhood context on mortality, fertility, housing, family formation, and demographic outcomes after 30 years"
8161,130,"Interfirm Job Mobility, Local Labor Markets, and Organizational Dynamics in Retail"
8041,88,"Interfirm Job Mobility, Local Labor Markets, and Organizational Dynamics in Retail"
6208,98,"Interfirm Job Mobility, Local Labor Markets, and Organizational Dynamics in Retail"
7796,4,Causes and Consequences of Asset Reallocation and Utilization in the Economy
7705,143,Causes and Consequences of Asset Reallocation and Utilization in the Economy
7305,50,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
10718,67,Trade Flows at Narrow Geographic Detail and the Location of Manufacturing
4318,21,Intersectional Environmental Justice: Examining Micro-level Disparities in Multiple Environmental Outcomes
602,1,High-Tech Innovative Startups: Testing for the Leonardo Polymath Effect and Assessing the Contribution to Radical Innovation
117,0,Improving the Connection between the Spatial and the Survey Sciences
5149,7,Historical Census Files Project
2835,0,"Regional Entrepreneurship, Innovation, and Firm Dynamics"
491,0,Patterns of Locational Attainment
856,0,Real Investments and Managerial Career Concerns
13274,126,Health and Migration in the Continental United States
6335,109,Political Environments and Manufacturing Employment and Investment
3778,0,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
8891,32,State and Local Taxes on Business Property
924,24,CB99-10 (BR99-03)  Top Management Team Cognitive Orientation toward Foreign Operations and Markets: A Study of its Impact on the Magnitude of Foreign R&D
3778,7,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation"
1221,0,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation"
735,2,WO00-07  U.S. Geographical Diversity in Business Entry Rates
408,1,Studies of Homelessness using the National Survey of Homeless Assistance Providers and Clients
1221,16,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor
396,0,Community Variation in Victim Crime Reporting: A Multilevel Analysis Using Data from the Area-Identified NCVS
6183,10,Community Variation in Victim Crime Reporting: A Multilevel Analysis Using Data from the Area-Identified NCVS
1586,2,Seasonality of Transportation Data in the American Community Survey
856,0,Seasonality of Transportation Data in the American Community Survey
545,0,Mileage Calculations for 2002 Commodity Flow Survey (CFS)
1443,10,Mileage Calculations for 2002 Commodity Flow Survey (CFS)
470,0,Examining Workplace Geo-coding for Travel Forecasting Using the American Community Survey
450,3,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
207,0,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
2317,4,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
1221,1,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data"
856,0,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data"
1341,8,The Health Care Safety Net and Employer Health Insurance Provision
2185,28,The Financial Assimilation of Immigrants
820,27,The Mixed-Race Household in Residential Space: Proposal to Access 1990 and 2000 Decennial Long Form Data
1739,4,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
1731,4,Job Availability and Employment
54,0,Public Use Documentation and Access Tools for Restricted Use 2000 Decennial Census Public Use Microfile
305,0,Public Use Documentation and Access Tools for Restricted Use 2000 Decennial Census Public Use Microfile
809,15,Public Use Documentation and Access Tools for Restricted Use 2000 Decennial Census Public Use Microfile
2317,2,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
1586,6,Survey of Industrial Research and Development: Evaluation of Imputation Methods
2131,60,"Place, Race/Ethnicity, and Entrepreneurship in the Global Era: A Comparative Analysis "
1079,9,Locational Attainment and Residential Segregation in U.S. Metropolitan Areas
3005,69,Income Effects in Labor Supply: Evidence from Census Demographic Microdata
952,5,Accuracy of Same-sex Couple Data in the American Community Survey
856,9,Community Hazard Mitigation and the Community Rating System of the National Flood Insurance Program
1952,13,The Emergence of Wage Discrimination in US Manufacturing
2925,11,The Power of the Pill in Shaping U.S. Fertility and Childbearing Behavior
386,0,Constructing a Geography for Census Microdata
522,4,Constructing a Geography for Census Microdata
728,0,Constructing a Geography for Census Microdata
1586,0,Capacity Costs: Evidence from Census Data
3663,20,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
856,0,Estimating the Determinants of Private School Enrollment: The Role of School Attendance Zone Racial and Ethnic Composition
3442,1,Improving the quality of the National Crime Victimization Survey and Police Public Contact Survey in order to better understand the determinates of help-seeking behavior among victims of intimate-partner and sexual assaults
1708,4,Do Shocks Abroad Shift Supply Curves in the U.S.?
4843,49,Improving Estimates for Post-2000 Small Area Data
3200,34,Weighting Factor Development Using the Census of Retail Trade
5535,41,Validating Estimates of Migration Status among Asian Immigrants in Representative Data Sources
3739,254,Demographic Inversion in U.S. Metropolitan Areas
1188,5,"Displacement, Neighborhood Change, and Residential Migration Patterns:  Causes and Consequences"
3178,123,Neighborhood and Metropolitan Racial Differences in Rental Property Management
1904,5,The Demographics of Air Conditioning Adoption: Evidence from the American Housing Survey
3047,26,The Demographics of Air Conditioning Adoption: Evidence from the American Housing Survey
784,2000,The Impact of the ACA Medicaid Expansion on Public Program Participation and Labor Market Outcomes of Low-Wage Workers
680,5,"""Fixing"" 1990-2010 Census Geography: Geocoding Restricted Data and Assessing Public Estimates"
856,0,Population Change in Puerto Rico
477,1,"Oil and Gas Siting, Housing Choices, and Environmental Justice"
79,0,Reconciling the Quantitative Gap in Measuring the Social Costs of Gentrification: Evidence from the American Housing Survey
1001,14,County level estimates of childhood obesity using the 2020 and 2021 National Survey of Children's Health
693,1,Linking the National Survey of College Graduates to Census Bureau Employer Data
6304,988,Pollution Abatement Expenditures and Outcomes: Internal and External Determinants
4024,113,Intergenerational Inequality in the US
692,11,Synthetic Data Generation for Small Area Estimation
2013,12,BR98-10  The Causes and Consequences of Job Destruction
7249,42,"Understanding the Relationships Between Gender/Racial Diversity, Management Practices, and Organizational Performance"
4508,10,"The Effect of Housing Assistance Program on Labor Supply, Family Formation and Homeownership"
4327,94,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
6146,138,Neighborhood Physical Form and Residential Satisfaction
797,15,Innovation and Market Concentration
4174,8,CB99-10 (BR99-03)  Top Management Team Cognitive Orientation toward Foreign Operations and Markets: A Study of its Impact on the Magnitude of Foreign R&D
491,1,Military Service and Immigrants' Assimilation: Evidence from the Vietnam Draft Lotteries
4898,49,An Empirical Investigation of  The Supply of and Demand for Private Schooling in the United States
1931,1352,Globalization and the Rise of Dispersion in Firm Performance
3778,1,Productivity Growth in Construction
4303,15,Measuring the Productivity Impact of Wireless Technology
4705,15,Using Synthetic Data in the American Community Survey
5514,38,Plant Size and Plant Function
4373,4,Corporate Restructuring and Human Capital
4624,16,Factors Driving Changes in U.S. Firms' International Sourcing from China
856,5,Trends in Couples' Work Patterns after Childbirth and Implications for Inequality: Evidence from the SIPP and Administrative Earnings
6789,71,"Workplace Innovation, Business Performance, and Labor Market Outcomes"
7644,52,The Impact of Foreign Trade on the U.S. Economy
3778,0,Associations between Public Housing and Labor Market Outcomes
5510,68,Firm financial constraints and employment
1374,0,The Demographics of Air Conditioning Adoption: Evidence from the American Housing Survey
5239,17,The Role of Information Technology in Production
4562,13,"Immigration, Earnings and the Dynamics of Labor Market Adjustment in the United States: Comparing CPS Earnings to LEHD Earnings Records"
3413,2,Inside the Labyrinth: Housing Segregation in America
2405,15,Using Plant-Level Data to Assess the Motives for Aggregating Line of Business Information
2275,13,"Migration, Gentrification, and the Residential Integration of Same-Sex Couples: An Analysis of Census Microdata"
1861,51,"New Firm Formation, Innovation, and Entrepreneurial Firm Growth: The Role of Credit"
5411,10,Competition and Industry Structure in Food Services
4539,6,External Capital Issuance and Firm Production 
3742,195,Organizational Capital and Firm Value
4911,3,Changes in Firm Pension Policy: The Case of Cash Balance Plan Conversion
3413,7,Imports and Productivity in U.S. Manufacturing
5696,16,Estimating the Determinants of Private School Enrollment: The Role of School Attendance Zone Racial and Ethnic Composition
2910,49,California Immigrant Families and Welfare Reform
2682,959,The Microfoundations of Trade in Industrial Products
5457,829,Social Capital and Entrepreneurship
4085,6,New Rural Employers and their First Employees
1026,2,Criminal Offenders in the Labor Market
1554,23,"Immigration Impacts, Immigrant Well-Being, and Geographic Context using the 1996-2023 Survey of Income and Program Participation"
5969,308,"Immigration, Earnings and the Dynamics of Labor Market Adjustment in the United States: Comparing CPS Earnings to LEHD Earnings Records"
1441,10,"Immigration, Earnings and the Dynamics of Labor Market Adjustment in the United States: Comparing CPS Earnings to LEHD Earnings Records"
3280,24,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.
692,4,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach
2317,1,Multiple Imputation and Estimating Aggregate Productivity Growth in Manufacturing
1070,8,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
3887,2386,Measuring Income Segregation with Precise Income Data
4185,58,The Financial Assimilation of Immigrants
4905,34,The Importance of Relocations in U.S. Manufacturing
6304,3,Improving Estimates for Post-2000 Small Area Data
3413,63,Human Capital Externalities & the Investment Decision of US Manufacturing Firms
4858,25,Evaluating and Enhancing the MEPS-IC as a Source of  Employment-Related Insurance Estimates
5772,577,Testing New Constructs in Innovation and Entrepreneurship to Inform Census Data Collection Efforts
2047,93,The Costs of Entrepreneurship Versus Work
6864,21,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.
6854,4,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.
2503,18,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs
3268,6,Methodologies for Analyzing Risk Assessment
804,8,Analysis of the Child Care Market in the United States
2596,0,The Role of Foreign Production in U.S. Prices and Firm Behavior
644,2,Estimates of the Earned Income Tax Credit on Employment and Wages
9257,97,Diversification discount or premium? New evidence from BITS establishment-level data
7712,852,Diversification discount or premium? New evidence from BITS establishment-level data
6700,143,Estimating Productivity Spillovers from Manufacturing Employment using Trade Shocks
3980,145,Individuals and Neighborhoods: A Reciprocal Relationship and its Consequences for Change over Time
3521,41,The Price of a Safe Home: Lead-Abatement Mandates and the Housing Market
4167,73,Causes and Consequences of Neighborhood Economic Transitions
4508,4,"Recessions, Local Labor Markets, and Inequality"
2938,130,Ethnic Enclaves and Labor Markets
4143,12,Public Subsidies and Higher Education
2432,36,Do Big Box Grocers Improve Food Security?
3047,12,The Emergence of Wage Discrimination in US Manufacturing
4517,143,The Impact of Housing Assistance on Residential Environmental Exposures
6549,532,Estimating Productivity Spillovers from Manufacturing Employment using Trade Shocks
4296,2832,Income Effects in Labor Supply: Evidence from Census Demographic Microdata
3949,57,Analysis of the Child Care Market in the United States
1050,1,Vertical Linkages and Investment Decisions
3870,327,Dynamic Models of Reallocation
3047,32,Local Credit Availability and the Performance of Small and Young Businesses
478,2,Income Effects in Labor Supply: Evidence from Census Demographic Microdata
403,0,Productivity and Efficiency Analysis in U.S. Food Manufacturing Industry
5373,44,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
710,63,"Human Capital and Corporate Financing, Restructuring, and Governance"
7006,9,M&A Premium and Labor Force Restructuring
5969,8,Rising Health Care Costs: Effects on Labor Demand and Retiree Health Insurance Benefits
5311,0,Rising Health Care Costs: Effects on Labor Demand and Retiree Health Insurance Benefits
3272,10,"Trade, Employment, and Inequality: An Investigation of Rural Economic Change"
2983,383,Financial Protection Provided by Employer-Sponsored Health Insurance
4143,1,The Role of Industry Classification and Firm Structure in the Estimation of Research and Development Expenditures
3113,22,Financial Protection Provided by Employer-Sponsored Health Insurance
3413,3,The Costs of Entrepreneurship Versus Work
2682,3,Firm financial constraints and employment
3933,549,Understanding Employee Entrepreneurship
3678,138,The Employment Dynamics of Firms and Establishments
4508,15,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
10048,1929,Energy and the Environment - Plant-Level Production and Market-Level Incidence
4508,2,Reallocation and Productivity Growth: A Cross-Sector Analysis
5239,52,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor
1009,76,Credit Markets and Real Corporate Policies
1426,15,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach
6700,4,Comparison of the Distributions of Production and Energy Efficiency in Manufacturing: Phase II.
3778,10,"Pollution Abatement Spending, Corporate Restructuring, and Environmental Performance"
